sepal.length,sepal.width,petal.length,petal.width,variety,,original_num,sepal-length,sepal-width,petal-length,petal-width,Class,Class-label,label-SL,label-SW,label-PL,label-PW,Q2(2):,SL,SW,PL,PW,Q2(3):,123 SL,124 SW,134 PL,234 PW,Q3(1):,SL,SW,PL,PW
6.1,2.9,4.7,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,2.9,3.6,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,4.4,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,3,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,4.1,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,2.2,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,2.5,3.9,1.1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,3.2,4.8,1.8,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,2.8,4,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.5,4.9,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,2.8,4.7,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,2.9,4.3,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,3,4.4,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,2.8,4.8,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3,5,1.7,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.9,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.6,3.5,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.4,3.8,1.1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.4,3.7,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,3.9,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.7,5.1,1.6,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4,3,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.4,4.5,1.6,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,4.7,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.3,4.4,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,3,4.1,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.5,4,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.6,4.4,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,3,4.6,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.6,4,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.3,3.3,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,2.7,4.2,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,3,4.2,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.9,4.2,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,2.9,4.3,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,2.5,3,1.1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.8,4.1,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,3.3,6,2.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,5.1,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,3,5.9,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.9,5.6,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.8,2.2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,3,6.6,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,2.5,4.5,1.7,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3,2.9,6.3,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,2.5,5.8,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,3.6,6.1,2.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,3.2,5.1,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,2.7,5.3,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,3,5.5,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.5,5,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.8,5.1,2.4,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,3.2,5.3,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.5,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,3.8,6.7,2.2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,2.6,6.9,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.2,5,1.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,3.2,5.7,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,2.8,4.9,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,2.8,6.7,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.7,4.9,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.3,5.7,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,3.2,6,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,2.8,4.8,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,3,4.9,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,2.8,5.6,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,3,5.8,1.6,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,2.8,6.1,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9,3.8,6.4,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,2.8,5.6,2.2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.8,5.1,1.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,2.6,5.6,1.4,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,3,6.1,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,3.4,5.6,2.4,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,3.1,5.5,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,4.8,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,3.1,5.4,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,5.6,2.4,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,3.1,5.1,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,5.1,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,3.2,5.9,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.3,5.7,2.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3,5.2,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.5,5,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.2,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,3.4,5.4,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,3,5.1,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.262,2.872,4.906,1.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.662834,0.332751,0.825578,0.424769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM,SL,SW,PL,PW,CLASS,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6.3,2.3,4.4,1.3,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6.8,3,5.5,2.1,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6.8,2.8,4.8,1.4,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6.1,3,4.6,1.4,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
85,6,3.4,4.5,1.6,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6.6,3,4.4,1.4,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
86,6.7,3.1,4.7,1.5,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6,2.7,5.1,1.6,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
127,6.1,3,4.9,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6.1,2.8,4,1.3,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
135,7.7,3,6.1,2.3,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6.3,3.3,6,2.5,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
142,5.8,2.7,5.1,1.9,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6,2.2,5,1.5,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
146,6.3,2.5,5,1.9,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6.4,2.8,5.6,2.1,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
122,7.7,2.8,6.7,2,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
55,5.7,2.8,4.5,1.3,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5.5,2.6,4.4,1.2,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5.9,3,4.2,1.5,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5.7,2.6,3.5,1,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6.3,2.8,5.1,1.5,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6.4,2.8,5.6,2.2,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
93,5,2.3,3.3,1,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6,2.9,4.5,1.5,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6.3,2.5,4.9,1.5,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6.1,2.8,4.7,1.2,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6.7,3.1,5.6,2.4,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
136,6.3,3.4,5.6,2.4,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5.9,3.2,4.8,1.8,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
82,5.8,2.7,3.9,1.2,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6.3,3.3,4.7,1.6,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5.5,2.3,4,1.3,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6,2.2,4,1,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.8,2.7,5.1,1.9,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
134,6.1,2.6,5.6,1.4,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6.3,2.7,4.9,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.8,2.8,5.1,2.4,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
104,6.5,3,5.8,2.2,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
118,7.7,2.6,6.9,2.3,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
125,7.2,3.2,6,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6.7,3.3,5.7,2.1,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
107,7.3,2.9,6.3,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5.8,2.6,4,1.2,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
126,6.2,2.8,4.8,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
149,5.9,3,5.1,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5.8,2.7,4.1,1,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
143,6.8,3.2,5.9,2.3,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.7,2.5,5,2,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,3.2,4.7,1.4,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
